Name,City,Raiting,Coordinates,Geometry
Starbucks,Manchester,2.0,"[-2.2298073, 53.4768766]","{'Type': 'Point', 'coordinates': [-2.2298073, 53.4768766]}"
Starbucks,Manchester,3.0,"[-2.23328065127134, 53.4777214721968]","{'Type': 'Point', 'coordinates': [-2.23328065127134, 53.4777214721968]}"
Starbucks,Manchester,3.5,"[-2.239884, 53.473737]","{'Type': 'Point', 'coordinates': [-2.239884, 53.473737]}"
Starbucks,Manchester,3.5,"[-2.228485303925, 53.4619300023412]","{'Type': 'Point', 'coordinates': [-2.228485303925, 53.4619300023412]}"
Starbucks,Manchester,3.5,"[-2.2388399, 53.4803346]","{'Type': 'Point', 'coordinates': [-2.2388399, 53.4803346]}"
Starbucks,Manchester,3.0,"[-2.23805849101461, 53.4818332653338]","{'Type': 'Point', 'coordinates': [-2.23805849101461, 53.4818332653338]}"
Starbucks,Manchester,2.5,"[-2.23805849101461, 53.4818332653338]","{'Type': 'Point', 'coordinates': [-2.23805849101461, 53.4818332653338]}"
Starbucks,Manchester,2.0,"[-2.24566430392838, 53.4736785081809]","{'Type': 'Point', 'coordinates': [-2.24566430392838, 53.4736785081809]}"
Starbucks,Manchester,4.0,"[-2.24874, 53.4796]","{'Type': 'Point', 'coordinates': [-2.24874, 53.4796]}"
Starbucks,Manchester,4.0,"[-2.2456111535987, 53.4779675853228]","{'Type': 'Point', 'coordinates': [-2.2456111535987, 53.4779675853228]}"
Starbucks,Manchester,2.5,"[-2.242814, 53.482944]","{'Type': 'Point', 'coordinates': [-2.242814, 53.482944]}"
Starbucks,Manchester,3.0,"[-2.2442157257953, 53.479947204765]","{'Type': 'Point', 'coordinates': [-2.2442157257953, 53.479947204765]}"
Starbucks,Manchester,3.5,"[-2.241688, 53.483462]","{'Type': 'Point', 'coordinates': [-2.241688, 53.483462]}"
Starbucks,Manchester,3.5,"[-2.2450432, 53.4826438]","{'Type': 'Point', 'coordinates': [-2.2450432, 53.4826438]}"
Starbucks,Manchester,3.5,"[-2.24844650402553, 53.4798691012707]","{'Type': 'Point', 'coordinates': [-2.24844650402553, 53.4798691012707]}"
Starbucks,Manchester,3.0,"[-2.25010771195414, 53.4782480707164]","{'Type': 'Point', 'coordinates': [-2.25010771195414, 53.4782480707164]}"
Starbucks,Manchester,3.0,"[-2.242286, 53.485127]","{'Type': 'Point', 'coordinates': [-2.242286, 53.485127]}"
Starbucks,Manchester,3.0,"[-2.24427900953981, 53.4874034435176]","{'Type': 'Point', 'coordinates': [-2.24427900953981, 53.4874034435176]}"
Starbucks,Manchester,4.0,"[-2.21921460092391, 53.4411841361908]","{'Type': 'Point', 'coordinates': [-2.21921460092391, 53.4411841361908]}"
Starbucks,Manchester,4.0,"[-2.34347936427166, 53.4668111449656]","{'Type': 'Point', 'coordinates': [-2.34347936427166, 53.4668111449656]}"
Starbucks,Stretford,2.5,"[-2.34592437744141, 53.4642537388189]","{'Type': 'Point', 'coordinates': [-2.34592437744141, 53.4642537388189]}"
Starbucks,Manchester,2.0,"[-2.3490048, 53.466179]","{'Type': 'Point', 'coordinates': [-2.3490048, 53.466179]}"
Starbucks,Stockport,2.5,"[-2.162427, 53.40577]","{'Type': 'Point', 'coordinates': [-2.162427, 53.40577]}"
Starbucks,Hyde,2.0,"[-2.0918007, 53.4649592]","{'Type': 'Point', 'coordinates': [-2.0918007, 53.4649592]}"
Starbucks,Cheadle,3.0,"[-2.20955547565126, 53.3862444401959]","{'Type': 'Point', 'coordinates': [-2.20955547565126, 53.3862444401959]}"
Starbucks,Manchester,1.0,"[-2.27085590362549, 53.361888885498]","{'Type': 'Point', 'coordinates': [-2.27085590362549, 53.361888885498]}"
Starbucks,Manchester,3.5,"[-2.275251, 53.361443]","{'Type': 'Point', 'coordinates': [-2.275251, 53.361443]}"
Starbucks,Bury,3.0,"[-2.27559220958322, 53.5908447749992]","{'Type': 'Point', 'coordinates': [-2.27559220958322, 53.5908447749992]}"
Starbucks,Rochdale,5.0,"[-2.17023211310945, 53.6042777234413]","{'Type': 'Point', 'coordinates': [-2.17023211310945, 53.6042777234413]}"
Starbucks,Wilmslow,3.5,"[-2.23217991644534, 53.3261119468504]","{'Type': 'Point', 'coordinates': [-2.23217991644534, 53.3261119468504]}"
Starbucks,Bolton,3.5,"[-2.42035553928679, 53.5702299328496]","{'Type': 'Point', 'coordinates': [-2.42035553928679, 53.5702299328496]}"
Starbucks,Bolton,4.5,"[-2.4298907716274, 53.5805063075106]","{'Type': 'Point', 'coordinates': [-2.4298907716274, 53.5805063075106]}"
