Name,City,Raiting,Coordinates,Geometry
Starbucks,League City,2.0,"[-95.113615, 29.488174]","{'Type': 'Point', 'coordinates': [-95.113615, 29.488174]}"
Starbucks,League City,3.5,"[-95.095036, 29.507959]","{'Type': 'Point', 'coordinates': [-95.095036, 29.507959]}"
Starbucks,Friendswood,2.0,"[-95.15995, 29.520865]","{'Type': 'Point', 'coordinates': [-95.15995, 29.520865]}"
Starbucks,Webster,3.5,"[-95.138529, 29.539001]","{'Type': 'Point', 'coordinates': [-95.138529, 29.539001]}"
Starbucks,Webster,2.5,"[-95.152293, 29.537417]","{'Type': 'Point', 'coordinates': [-95.152293, 29.537417]}"
Starbucks,Friendswood,3.0,"[-95.148842, 29.541613]","{'Type': 'Point', 'coordinates': [-95.148842, 29.541613]}"
Starbucks,League City,3.0,"[-95.09291, 29.469875]","{'Type': 'Point', 'coordinates': [-95.09291, 29.469875]}"
Starbucks,Houston,3.5,"[-95.126172, 29.5516397523826]","{'Type': 'Point', 'coordinates': [-95.126172, 29.5516397523826]}"
Starbucks,Nassau Bay,4.0,"[-95.097874, 29.548065]","{'Type': 'Point', 'coordinates': [-95.097874, 29.548065]}"
Starbucks,Friendswood,3.0,"[-95.187357, 29.509542]","{'Type': 'Point', 'coordinates': [-95.187357, 29.509542]}"
Starbucks,League City,2.5,"[-95.073221, 29.529039]","{'Type': 'Point', 'coordinates': [-95.073221, 29.529039]}"
Starbucks,Webster,2.5,"[-95.1498436, 29.556453]","{'Type': 'Point', 'coordinates': [-95.1498436, 29.556453]}"
Starbucks,League City,2.5,"[-95.063512, 29.538726]","{'Type': 'Point', 'coordinates': [-95.063512, 29.538726]}"
Starbucks,Dickinson,3.5,"[-95.079728, 29.449891]","{'Type': 'Point', 'coordinates': [-95.079728, 29.449891]}"
Starbucks,Dickinson,3.0,"[-95.083665, 29.4459006]","{'Type': 'Point', 'coordinates': [-95.083665, 29.4459006]}"
Starbucks,League City,3.0,"[-95.0435575319642, 29.5045348714736]","{'Type': 'Point', 'coordinates': [-95.0435575319642, 29.5045348714736]}"
Starbucks,Houston,3.0,"[-95.120405, 29.577884]","{'Type': 'Point', 'coordinates': [-95.120405, 29.577884]}"
Starbucks,Webster,3.0,"[-95.1569089608503, 29.578269]","{'Type': 'Point', 'coordinates': [-95.1569089608503, 29.578269]}"
Starbucks,Houston,3.5,"[-95.140263, 29.593134]","{'Type': 'Point', 'coordinates': [-95.140263, 29.593134]}"
Starbucks,Pearland,4.0,"[-95.22764, 29.545993]","{'Type': 'Point', 'coordinates': [-95.22764, 29.545993]}"
Starbucks,Kemah,4.5,"[-95.022495, 29.539102]","{'Type': 'Point', 'coordinates': [-95.022495, 29.539102]}"
Starbucks,Texas City,3.5,"[-95.0592565654125, 29.425046035029]","{'Type': 'Point', 'coordinates': [-95.0592565654125, 29.425046035029]}"
Starbucks,Kemah,2.5,"[-95.017696, 29.546637]","{'Type': 'Point', 'coordinates': [-95.017696, 29.546637]}"
Starbucks,Alvin,3.5,"[-95.226291, 29.425316]","{'Type': 'Point', 'coordinates': [-95.226291, 29.425316]}"
Starbucks,Houston,2.5,"[-95.214839, 29.603237]","{'Type': 'Point', 'coordinates': [-95.214839, 29.603237]}"
