Name,City,Raiting,Coordinates,Geometry
Starbucks,Atlanta,3.5,"[-84.412846, 33.8042384313138]","{'Type': 'Point', 'coordinates': [-84.412846, 33.8042384313138]}"
Starbucks,Atlanta,1.5,"[-84.40584333, 33.78166469]","{'Type': 'Point', 'coordinates': [-84.40584333, 33.78166469]}"
Starbucks,Atlanta,2.0,"[-84.39937, 33.7932029302322]","{'Type': 'Point', 'coordinates': [-84.39937, 33.7932029302322]}"
Starbucks,Atlanta,1.5,"[-84.3981837, 33.7914372]","{'Type': 'Point', 'coordinates': [-84.3981837, 33.7914372]}"
Starbucks,Atlanta,2.0,"[-84.396411, 33.774261]","{'Type': 'Point', 'coordinates': [-84.396411, 33.774261]}"
Starbucks,Atlanta,3.5,"[-84.393519, 33.805883]","{'Type': 'Point', 'coordinates': [-84.393519, 33.805883]}"
Starbucks,Atlanta,4.0,"[-84.389228, 33.774025]","{'Type': 'Point', 'coordinates': [-84.389228, 33.774025]}"
Starbucks,Atlanta,3.0,"[-84.388457, 33.776339]","{'Type': 'Point', 'coordinates': [-84.388457, 33.776339]}"
Starbucks,Atlanta,3.0,"[-84.387118, 33.786481]","{'Type': 'Point', 'coordinates': [-84.387118, 33.786481]}"
Starbucks,Atlanta,2.0,"[-84.394807, 33.760386]","{'Type': 'Point', 'coordinates': [-84.394807, 33.760386]}"
Starbucks,Atlanta,3.0,"[-84.394684, 33.757795]","{'Type': 'Point', 'coordinates': [-84.394684, 33.757795]}"
Starbucks,Atlanta,3.5,"[-84.383242, 33.787719]","{'Type': 'Point', 'coordinates': [-84.383242, 33.787719]}"
Starbucks,Atlanta,1.0,"[-84.3856355380981, 33.7687479001142]","{'Type': 'Point', 'coordinates': [-84.3856355380981, 33.7687479001142]}"
Starbucks,Atlanta,3.5,"[-84.388394, 33.759425]","{'Type': 'Point', 'coordinates': [-84.388394, 33.759425]}"
Starbucks,Atlanta,2.5,"[-84.3873785572898, 33.7607785457247]","{'Type': 'Point', 'coordinates': [-84.3873785572898, 33.7607785457247]}"
Starbucks,Atlanta,2.5,"[-84.385642, 33.761693]","{'Type': 'Point', 'coordinates': [-84.385642, 33.761693]}"
Starbucks,Atlanta,2.5,"[-84.388567, 33.756643]","{'Type': 'Point', 'coordinates': [-84.388567, 33.756643]}"
Starbucks,Atlanta,3.0,"[-84.388322, 33.818839]","{'Type': 'Point', 'coordinates': [-84.388322, 33.818839]}"
Starbucks,Atlanta,3.5,"[-84.386793, 33.754383]","{'Type': 'Point', 'coordinates': [-84.386793, 33.754383]}"
Starbucks,Atlanta,2.5,"[-84.429842, 33.847585]","{'Type': 'Point', 'coordinates': [-84.429842, 33.847585]}"
Starbucks,Smyrna,2.0,"[-84.489841, 33.8442272]","{'Type': 'Point', 'coordinates': [-84.489841, 33.8442272]}"
Starbucks,Atlanta,3.5,"[-84.428249, 33.849364]","{'Type': 'Point', 'coordinates': [-84.428249, 33.849364]}"
Starbucks,Atlanta,3.5,"[-84.370684, 33.7980638538498]","{'Type': 'Point', 'coordinates': [-84.370684, 33.7980638538498]}"
Starbucks,Atlanta,3.0,"[-84.368832, 33.780223]","{'Type': 'Point', 'coordinates': [-84.368832, 33.780223]}"
Starbucks,Atlanta,3.5,"[-84.365982, 33.77363]","{'Type': 'Point', 'coordinates': [-84.365982, 33.77363]}"
Starbucks,Atlanta,3.0,"[-84.382662088102, 33.835393]","{'Type': 'Point', 'coordinates': [-84.382662088102, 33.835393]}"
Starbucks,Atlanta,2.5,"[-84.506982, 33.722803]","{'Type': 'Point', 'coordinates': [-84.506982, 33.722803]}"
Starbucks,Atlanta,4.5,"[-84.36854, 33.82325]","{'Type': 'Point', 'coordinates': [-84.36854, 33.82325]}"
Starbucks,Atlanta,1.0,"[-84.48273, 33.862347]","{'Type': 'Point', 'coordinates': [-84.48273, 33.862347]}"
Starbucks,Atlanta,3.0,"[-84.4774518, 33.864836]","{'Type': 'Point', 'coordinates': [-84.4774518, 33.864836]}"
