Name,City,Raiting,Coordinates,Geometry
Starbucks,Baton Rouge,2.5,"[-91.116656, 30.429851]","{'Type': 'Point', 'coordinates': [-91.116656, 30.429851]}"
Starbucks,Baton Rouge,3.5,"[-91.087843, 30.389138]","{'Type': 'Point', 'coordinates': [-91.087843, 30.389138]}"
Starbucks,Baton Rouge,3.5,"[-91.052001, 30.417858]","{'Type': 'Point', 'coordinates': [-91.052001, 30.417858]}"
Starbucks,Baton Rouge,2.5,"[-91.09692, 30.379579]","{'Type': 'Point', 'coordinates': [-91.09692, 30.379579]}"
Starbucks,Baton Rouge,2.5,"[-91.140397, 30.420398]","{'Type': 'Point', 'coordinates': [-91.140397, 30.420398]}"
Starbucks,Baton Rouge,3.5,"[-91.06116, 30.38462]","{'Type': 'Point', 'coordinates': [-91.06116, 30.38462]}"
Starbucks,Baton Rouge,4.0,"[-91.073359, 30.369147]","{'Type': 'Point', 'coordinates': [-91.073359, 30.369147]}"
Starbucks,Baton Rouge,3.5,"[-91.02217, 30.441261]","{'Type': 'Point', 'coordinates': [-91.02217, 30.441261]}"
Starbucks,Baton Rouge,4.0,"[-91.1757699358369, 30.414544547373]","{'Type': 'Point', 'coordinates': [-91.1757699358369, 30.414544547373]}"
Starbucks,Baton Rouge,4.5,"[-91.007817, 30.439455]","{'Type': 'Point', 'coordinates': [-91.007817, 30.439455]}"
Starbucks,Baton Rogue,3.5,"[-91.186916, 30.411911]","{'Type': 'Point', 'coordinates': [-91.186916, 30.411911]}"
Starbucks,Baton Rouge,4.0,"[-91.188096, 30.449094]","{'Type': 'Point', 'coordinates': [-91.188096, 30.449094]}"
Starbucks,Baton Rouge,4.0,"[-91.013103, 30.361574]","{'Type': 'Point', 'coordinates': [-91.013103, 30.361574]}"
Starbucks,Baton Rouge,3.0,"[-91.027049, 30.3494]","{'Type': 'Point', 'coordinates': [-91.027049, 30.3494]}"
Starbucks,Port Allen,4.0,"[-91.2184645509891, 30.4214937687774]","{'Type': 'Point', 'coordinates': [-91.2184645509891, 30.4214937687774]}"
Starbucks,Denham Springs,3.5,"[-90.956962, 30.457071]","{'Type': 'Point', 'coordinates': [-90.956962, 30.457071]}"
Starbucks,Denham Springs,4.5,"[-90.9566889502412, 30.4571117936132]","{'Type': 'Point', 'coordinates': [-90.9566889502412, 30.4571117936132]}"
