Name,City,Raiting,Coordinates,Geometry
Starbucks,Lisle,3.5,"[-88.073384, 41.787138]","{'Type': 'Point', 'coordinates': [-88.073384, 41.787138]}"
Starbucks,Woodridge,4.0,"[-88.069993, 41.7695372794431]","{'Type': 'Point', 'coordinates': [-88.069993, 41.7695372794431]}"
Starbucks,Naperville,2.5,"[-88.121651, 41.79553]","{'Type': 'Point', 'coordinates': [-88.121651, 41.79553]}"
Starbucks,Naperville,3.0,"[-88.121365, 41.803548]","{'Type': 'Point', 'coordinates': [-88.121365, 41.803548]}"
Starbucks,Woodridge,3.5,"[-88.039061, 41.770804]","{'Type': 'Point', 'coordinates': [-88.039061, 41.770804]}"
Starbucks,Wheaton,3.5,"[-88.103488, 41.831178]","{'Type': 'Point', 'coordinates': [-88.103488, 41.831178]}"
Starbucks,Naperville,2.5,"[-88.144165, 41.786224]","{'Type': 'Point', 'coordinates': [-88.144165, 41.786224]}"
Starbucks,Naperville,3.0,"[-88.114709, 41.75146]","{'Type': 'Point', 'coordinates': [-88.114709, 41.75146]}"
Starbucks,Wheaton,4.0,"[-88.101232, 41.8350530826429]","{'Type': 'Point', 'coordinates': [-88.101232, 41.8350530826429]}"
Starbucks,Naperville,3.5,"[-88.147311, 41.771089]","{'Type': 'Point', 'coordinates': [-88.147311, 41.771089]}"
Starbucks,Naperville,3.5,"[-88.149354, 41.772874]","{'Type': 'Point', 'coordinates': [-88.149354, 41.772874]}"
Starbucks,Naperville,4.5,"[-88.1497689709067, 41.7728117251829]","{'Type': 'Point', 'coordinates': [-88.1497689709067, 41.7728117251829]}"
Starbucks,Glen Ellyn,2.0,"[-88.0732244, 41.8420554]","{'Type': 'Point', 'coordinates': [-88.0732244, 41.8420554]}"
Starbucks,Downers Grove,4.0,"[-88.034933, 41.830655]","{'Type': 'Point', 'coordinates': [-88.034933, 41.830655]}"
Starbucks,Downers Grove,3.5,"[-88.01061, 41.795979]","{'Type': 'Point', 'coordinates': [-88.01061, 41.795979]}"
Starbucks,Downers Grove,2.5,"[-88.013844, 41.808272]","{'Type': 'Point', 'coordinates': [-88.013844, 41.808272]}"
Starbucks,Warrenville,3.5,"[-88.170059, 41.800377]","{'Type': 'Point', 'coordinates': [-88.170059, 41.800377]}"
Starbucks,Downers Grove,3.0,"[-88.021495, 41.83441]","{'Type': 'Point', 'coordinates': [-88.021495, 41.83441]}"
Starbucks,Downers Grove,3.5,"[-88.0215369976014, 41.8344855283766]","{'Type': 'Point', 'coordinates': [-88.0215369976014, 41.8344855283766]}"
Starbucks,Warrenville,3.5,"[-88.173913, 41.802225]","{'Type': 'Point', 'coordinates': [-88.173913, 41.802225]}"
Starbucks,Woodridge,2.5,"[-88.013354, 41.749306]","{'Type': 'Point', 'coordinates': [-88.013354, 41.749306]}"
Starbucks,Glen Ellyn,3.0,"[-88.057937, 41.859016]","{'Type': 'Point', 'coordinates': [-88.057937, 41.859016]}"
Starbucks,Naperville,3.5,"[-88.162286, 41.747057]","{'Type': 'Point', 'coordinates': [-88.162286, 41.747057]}"
