Name,City,Raiting,Coordinates,Geometry
Starbucks,Albuquerque,3.0,"[-106.587907075882, 35.106902]","{'Type': 'Point', 'coordinates': [-106.587907075882, 35.106902]}"
Starbucks,Albuquerque,2.5,"[-106.612128, 35.133803]","{'Type': 'Point', 'coordinates': [-106.612128, 35.133803]}"
Starbucks,Albuquerque,2.5,"[-106.586917, 35.129794]","{'Type': 'Point', 'coordinates': [-106.586917, 35.129794]}"
Starbucks,Albuquerque,2.5,"[-106.586043, 35.100338]","{'Type': 'Point', 'coordinates': [-106.586043, 35.100338]}"
Starbucks,Albuquerque,3.5,"[-106.595602, 35.087747]","{'Type': 'Point', 'coordinates': [-106.595602, 35.087747]}"
Starbucks,Albuquerque,2.5,"[-106.62527, 35.08864]","{'Type': 'Point', 'coordinates': [-106.62527, 35.08864]}"
Starbucks,Albuquerque,2.5,"[-106.6206025, 35.08521616]","{'Type': 'Point', 'coordinates': [-106.6206025, 35.08521616]}"
Starbucks,Albuquerque,3.5,"[-106.568271, 35.102086]","{'Type': 'Point', 'coordinates': [-106.568271, 35.102086]}"
Starbucks,Albuquerque,4.0,"[-106.6173955, 35.08062036]","{'Type': 'Point', 'coordinates': [-106.6173955, 35.08062036]}"
Starbucks,Albuquerque,2.5,"[-106.642855, 35.090508]","{'Type': 'Point', 'coordinates': [-106.642855, 35.090508]}"
Starbucks,Albuquerque,4.0,"[-106.586314, 35.151566]","{'Type': 'Point', 'coordinates': [-106.586314, 35.151566]}"
Starbucks,Albuquerque,3.0,"[-106.593981398547, 35.1571296910022]","{'Type': 'Point', 'coordinates': [-106.593981398547, 35.1571296910022]}"
Starbucks,Albuquerque,3.5,"[-106.658188, 35.109453]","{'Type': 'Point', 'coordinates': [-106.658188, 35.109453]}"
Starbucks,Albuquerque,2.5,"[-106.650387, 35.086365]","{'Type': 'Point', 'coordinates': [-106.650387, 35.086365]}"
Starbucks,Albuquerque,3.5,"[-106.551595, 35.1317814344082]","{'Type': 'Point', 'coordinates': [-106.551595, 35.1317814344082]}"
Starbucks,Albuquerque,2.5,"[-106.54774, 35.12977]","{'Type': 'Point', 'coordinates': [-106.54774, 35.12977]}"
Starbucks,Albuquerque,3.5,"[-106.555496306007, 35.1475934096973]","{'Type': 'Point', 'coordinates': [-106.555496306007, 35.1475934096973]}"
Starbucks,Albuquerque,2.5,"[-106.670401, 35.103749]","{'Type': 'Point', 'coordinates': [-106.670401, 35.103749]}"
Starbucks,Albuquerque,2.5,"[-106.533738, 35.114633]","{'Type': 'Point', 'coordinates': [-106.533738, 35.114633]}"
Starbucks,Albuquerque,3.0,"[-106.582841, 35.058654]","{'Type': 'Point', 'coordinates': [-106.582841, 35.058654]}"
Starbucks,Albuquerque,2.5,"[-106.581969, 35.172446]","{'Type': 'Point', 'coordinates': [-106.581969, 35.172446]}"
Starbucks,Albuquerque,2.5,"[-106.578005, 35.174571]","{'Type': 'Point', 'coordinates': [-106.578005, 35.174571]}"
Starbucks,Albuquerque,3.0,"[-106.558345, 35.175741]","{'Type': 'Point', 'coordinates': [-106.558345, 35.175741]}"
Starbucks,Albuquerque,3.5,"[-106.681075602151, 35.1552943632143]","{'Type': 'Point', 'coordinates': [-106.681075602151, 35.1552943632143]}"
Starbucks,Albuquerque,3.5,"[-106.5329276, 35.071042]","{'Type': 'Point', 'coordinates': [-106.5329276, 35.071042]}"
Starbucks,Albuquerque,3.5,"[-106.515023, 35.099453]","{'Type': 'Point', 'coordinates': [-106.515023, 35.099453]}"
Starbucks,Albuquerque,3.0,"[-106.512844, 35.131036]","{'Type': 'Point', 'coordinates': [-106.512844, 35.131036]}"
Starbucks,Albuquerque,3.0,"[-106.701631, 35.112679]","{'Type': 'Point', 'coordinates': [-106.701631, 35.112679]}"
Starbucks,Albuquerque,3.5,"[-106.701965, 35.12827]","{'Type': 'Point', 'coordinates': [-106.701965, 35.12827]}"
Starbucks,Albuquerque,3.0,"[-106.51464, 35.079748]","{'Type': 'Point', 'coordinates': [-106.51464, 35.079748]}"
Starbucks,Albuquerque,1.0,"[-106.6647833, 35.1858688]","{'Type': 'Point', 'coordinates': [-106.6647833, 35.1858688]}"
